Test_TempF	Test_TempC	Frequency	Estar1	Estar2	Delta1	Delta2	Dynamic_Modulus	Phase_Angle	E'	"E"""	Log(at)	Log_reduced_freq	Reduced_Freq
39.2	4.000000000000002	25.0	10314.0	9749.0	15.18	15.46	10031.5	15.32	9675.033161643558	2650.4198858100717	1.925	3.3229400086720378	2103.4878541129883
39.2	4.000000000000002	10.0	8858.0	8488.0	16.78	17.09	8673.0	16.935000000000002	8296.902516152066	2526.328885452073	1.925	2.925	841.3951416451947
39.2	4.000000000000002	1.0	5661.0	5251.0	21.04	21.43	5456.0	21.235	5085.5524588641065	1976.1306100916613	1.925	1.925	84.13951416451951
39.2	4.000000000000002	0.1	3263.0	2959.0	25.19	26.38	3111.0	25.785	2801.246079248356	1353.2706320229195	1.925	0.925	8.413951416451951
68.0	20.0	25.0	4165.0	4042.0	26.47	26.32	4103.5	26.395	3675.7124170837096	1824.2396983117737	0.0	1.3979400086720377	25.000000000000007
68.0	20.0	10.0	3232.0	3122.0	28.18	28.15	3177.0	28.165	2800.8176329355624	1499.5831377543673	0.0	1.0	10.0
68.0	20.0	1.0	1516.0	1465.0	31.23	31.46	1490.5	31.345	1272.9623258186236	775.3432575617335	0.0	0.0	1.0
68.0	20.0	0.1	637.8	617.0	31.38	31.92	627.4	31.65	534.0863876320076	329.21496099994124	0.0	-1.0	0.1
113.0	45.0	25.0	700.0	544.7	31.58	35.64	622.35	33.61	518.3084165577341	344.4936978021723	-2.425	-1.027059991327962	0.0939593510721111
113.0	45.0	10.0	445.3	334.0	30.95	36.25	389.65	33.6	324.5477614426902	215.62901716266902	-2.425	-1.4249999999999998	0.03758374042884443
113.0	45.0	1.0	198.4	145.9	24.77	30.02	172.15	27.395	152.8443315145189	79.21005506802682	-2.425	-2.425	0.003758374042884443
113.0	45.0	0.1	121.4	88.9	18.33	22.78	105.15	20.555	98.4556865304475	36.91883380902301	-2.425	-3.425	0.0003758374042884443
113.0	45.0	0.01	92.4	70.5	14.05	17.78	81.45	15.915000000000001	78.32798519251733	22.33448534622606	-2.425	-4.425	3.758374042884443e-05
