# Reduced Frequency (Hz), Complex Modulus (MPa)
1.00000000e-06,2.42200000e+01
4.28133240e-06,2.42200464e+01
1.83298071e-05,2.58526249e+01
7.84759970e-05,4.39240966e+01
3.35981829e-04,8.71763902e+01
1.43844989e-03,1.70549898e+02
6.15848211e-03,3.29041534e+02
2.63665090e-02,6.39380850e+02
1.12883789e-01,1.24779578e+03
4.83293024e-01,2.33690932e+03
2.06913808e+00,4.03657908e+03
8.85866790e+00,6.39705297e+03
3.79269019e+01,9.32559180e+03
1.62377674e+02,1.24854971e+04
6.95192796e+02,1.54816010e+04
2.97635144e+03,1.80801833e+04
1.27427499e+04,2.02090279e+04
5.45559478e+04,2.18722421e+04
2.33572147e+05,2.31162608e+04
1.00000000e+06,2.40114886e+04
